feature,importance
cat__loan_id_L1133,0.0009959654703177348
cat__loan_id_L1103,0.0009861858518079999
cat__loan_id_L1191,0.0009366910959892952
cat__loan_id_L1187,0.0009263903614028181
cat__loan_id_L1169,0.0008949015069937976
cat__loan_id_L1167,0.0008760547051174959
cat__loan_id_L1030,0.0008314127745953741
cat__loan_id_L1163,0.0007986944283854011
cat__loan_id_L1181,0.0007485625958941947
cat__loan_id_L1019,0.000744666927069447
cat__loan_id_L1099,0.0007397855252399446
cat__loan_id_L1156,0.0007267848971241906
cat__loan_id_L1174,0.000670429278443069
cat__loan_id_L1161,0.00063531854798515
cat__loan_id_L1170,0.0006306183094293467
cat__loan_id_L1157,0.000570457262264742
cat__loan_id_L1017,0.000565414252966753
cat__loan_id_L1056,0.0005587502086305319
cat__loan_id_L1094,0.0005366409219489456
cat__loan_id_L1093,0.0005108250131106277
cat__loan_id_L1132,0.0004710361515331891
cat__loan_id_L1175,0.00036563117292855033
cat__loan_id_L1095,0.00030264603189698316
